=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:41:20 =~=~=~=~=~=~=~=~=~=~=~=
07; +2011;  -695
  +324; +3916;  +704;  -708; +1835;  -692
  +296; +3954;  +738;  -801; +1647;  -668
  +302; +3939;  +744;  -818; +1452;  -672
  +388; +3962;  +686;  -834; +1281;  -682
  +539; +3999;  +541;  -797; +1073;  -664
  +608; +3979;  +542;  -812;  +895;  -659
  +611; +3956;  +552;  -805;  +717;  -664
  +507; +3963;  +563;  -794;  +530;  -665
  +337; +3984;  +679;  -790;  +334;  -640
  +225; +3974;  +838;  -780;  +139;  -645
  +135; +3953; +1079;  -801;   -10;  -613
  +192; +3933; +1127;  -838;  -185;  -611
  +320; +3963; +1179;  -932;  -343;  -598
  +440; +3928; +1192;  -976;  -507;  -575
  +499; +3954; +1213;  -983;  -660;  -569
  +471; +3980; +1022;  -985;  -813;  -563
  +303; +3949;  +848;  -973;  -963;  -554
  +138; +3987;  +702;  -981; -1081;  -524
   +17; +3989;  +605;  -991; -1207;  -516
   +57; +3989;  +648;  -970; -1318;  -481
  +112; +4007;  +655;  -948; -1420;  -461
  +263; +3988;  +677;  -931; -1557;  -457
  +422; +3986;  +731;  -950; -1654;  -434
  +435; +3929;  +768; -1019; -1760;  -408
  +363; +3956;  +694; -1081; -1880;  -389
  +208; +3985;  +681; -1127; -2001;  -378
   +93; +3989;  +585; -1142; -2097;  -358
    -3; +3996;  +348; -1144; -2199;  -324
   +73; +3992;  +118; -1201; -2292;  -297
  +203; +4015;    -8; -1189; -2388;  -297
  +326; +4005;   -30; -1183; -2476;  -268
  +445; +3995;   -73; -1189; -2575;  -255
  +594; +3993;   +13; -1152; -2716;  -252
  +487; +3968;  +106; -1136; -2895;  -213
  -166; +4061;  +161; -1162; -3100;  -178
  -546; +4046;  +259; -1275; -3248;  -155
  -563; +3984;  +273; -1357; -3393;  -122
  -109; +3868;  +336; -1401; -3527;  -101
  +424; +4032;  +320; -1461; -3581;   -86
 +1152; +4025;  +306; -1431; -3746;   -58
 +1313; +3924;  +388; -1384; -3951;   -67
  +716; +3923;  +239; -1415; -4123;   -48
  -105; +4035;  +280; -1390; -4339;   -16
  -774; +4033;  +493; -1475; -4558;    +4
  -832; +3967;  +485; -1507; -4713;   +30
  -456; +3975;  +586; -1524; -4915;   +50
  +284; +3974;  +688; -1559; -5095;   +49
 +1448; +3890;  +898; -1554; -5321;   +43
 +1602; +3898;  +850; -1595; -5555;   +33
 +1417; +3868;  +863; -1613; -5814;   +62
  +753; +3949;  +936; -1616; -6060;   +58
  -219; +3975;  +992; -1621; -6267;   +53
  -401; +3976;  +928; -1624; -6447;   +76
  -206; +3953;  +954; -1637; -6617;   +81
  +442; +3893; +1102; -1694; -6728;   +82
 +1095; +3909; +1123; -1691; -6922;   +77
 +1627; +3858; +1220; -1673; -7114;   +59
 +1507; +3877; +1325; -1670; -7303;   +47
  +984; +3902; +1237; -1670; -7496;   +43
  +159; +3935; +1128; -1727; -7665;   +39
  -131; +3940; +1085; -1767; -7805;   +59
   -46; +3985;  +928; -1826; -7913;   +55
  +394; +3962;  +700; -1809; -8025;   +61
  +917; +3925;  +619; -1825; -8108;   +72
 +1451; +3925;  +485; -1794; -8189;   +52
 +1461; +3931;  +283; -1771; -8251;   +45
 +1093; +3953;  +224; -1717; -8326;   +28
  +666; +3944;  +314; -1716; -8339;   +33
  +255; +3971;  +253; -1710; -8323;   +41
  +161; +3962;  +266; -1704; -8281;   +44
  +458; +3929;  +388; -1706; -8184;   +51
  +900; +3910;  +457; -1727; -8070;   +57
 +1258; +3902;  +495; -1722; -7947;   +46
 +1487; +3916;  +577; -1696; -7830;   +39
 +1272; +3898;  +755; -1648; -7652;   +34
  +941; +3924;  +752; -1595; -7502;   +38
  +556; +3911;  +803; -1571; -7331;   +42
  +433; +3921;  +952; -1552; -7098;   +43
  +566; +3907; +1113; -1532; -6886;   +46
  +907; +3881; +1239; -1495; -6664;   +53
 +1231; +3880; +1375; -1433; -6410;   +51
 +1399; +3870; +1552; -1356; -6158;   +41
 +1255; +3882; +1656; -1309; -5903;   +45
  +946; +3868; +1819; -1271; -5607;   +33
  +596; +3869; +2003; -1230; -5325;   +56
  +455; +3879; +2076; -1175; -5011;   +66
  +468; +3876; +2148; -1132; -4667;   +91
  +682; +3855; +2190; -1073; -4298;   +91
  +907; +3859; +2165; -1026; -3922;   +98
 +1102; +3838; +2127;  -961; -3529;  +112
 +1017; +3825; +2136;  -855; -3098;  +124
  +834; +3822; +2166;  -769; -2606;  +134
  +557; +3901; +2095;  -663; -2000;  +185
  +215; +3991; +2356;  -556; -1572;  +180
  +337; +3822; +2186;  -552; -1018;  +201
  +647; +3764; +1783;  -548;  -591;  +219
  +979; +3814; +1744;  -565;  -109;  +229
 +1204; +3864; +1817;  -488;  +441;  +258
 +1064; +4032; +1527;  -332; +1004;  +255
  +882; +3951; +1140;  -225; +1442;  +256
  +679; +3836;  +977;  -124; +1884;  +268
  +615; +3872;  +980;  -117; +2363;  +273
  +835; +3982;  +894;   -94; +2752;  +275
 +1089; +3910;  +903;   -26; +3173;  +270
 +1379; +3875;  +929;   +39; +3554;  +254
 +1424; +3860;  +964;  +108; +3945;  +243
 +1339; +3916;  +893;  +115; +4326;  +238
 +1094; +3883;  +810;   +88; +4688;  +228
  +884; +3892;  +735;   +75; +5018;  +227
  +786; +3936;  +661;  +125; +5272;  +211
  +707; +3925;  +624;  +150; +5507;  +210
  +744; +3952;  +453;  +160; +5650;  +209
  +876; +3968;  +193;  +130; +5756;  +199
 +1073; +3921;   +39;  +138; +5890;  +180
 +1074; +3919;   +43;  +183; +5932;  +173
 +1064; +3963;   +93;  +246; +5843;  +152
  +975; +4002;  +196;  +340; +5825;  +131
  +859; +3977;  +411;  +357; +5765;  +113
  +796; +3915;  +697;  +332; +5631;  +106
  +810; +3866;  +919;  +239; +5456;   +88
  +889; +3879; +1110;  +157; +5276;   +66
  +930; +3883; +1238;  +106; +4975;   +59
  +927; +3907; +1175;   +64; +4680;   +48
  +869; +3889; +1095;   +50; +4314;   +41
  +688; +3929;  +982;    +9; +3937;   +11
  +616; +3923;  +853;   +23; +3540;    +9
  +570; +3920;  +862;   +40; +3096;    -7
  +575; +3933;  +953;   +76; +2641;   -11
  +617; +3925; +1043;   +72; +2155;   -21
  +681; +3935; +1122;   +51; +1637;   -27
  +691; +3920; +1291;   +20; +1130;   -43
  +754; +3871; +1555;   -29;  +631;   -45
  +661; +3869; +1653;   -98;  +129;   -63
  +674; +3904; +1666;  -154;  -361;   -76
  +680; +3899; +1668;  -226;  -818;   -83
  +653; +3912; +1446;  -292; -1295;   -97
  +704; +3886; +1220;  -333; -1757;   -88
  +698; +3946; +1107;  -323; -2206;  -111
  +739; +3954;  +944;  -298; -2608;  -140
  +766; +3937;  +835;  -266; -3017;  -125
  +688; +3947;  +750;  -259; -3340;  -144
  +669; +3927;  +727;  -243; -3606;  -141
  +626; +3956;  +884;  -227; -3832;  -151
  +596; +3923; +1092;  -225; -3991;  -149
  +582; +3907; +1143;  -193; -4076;  -141
  +550; +3904; +1214;  -242; -4097;  -131
  +596; +3904; +1236;  -294; -4011;  -120
  +632; +3899; +1176;  -322; -3869;  -112
  +651; +3906; +1041;  -304; -3701;   -97
  +689; +3930;  +934;  -227; -3491;   -86
  +585; +3909;  +778;  -182; -3187;   -77
  +498; +3932;  +643;  -126; -2885;   -50
  +377; +3857;  +575;   -79; -2573;   -43
  +198; +3853;  +718;   -26; -2252;   -21
  +164; +4055;  +965;   -13; -1833;   -32
  +882; +4150;  +991;  +130; -1623;   -29
 +1171; +3983; +1615;  +305; -1401;    -7
 +1957; +3735; +1258;  +158; -1019;  -111
 +2285; +3677; +1958;  +363; -1159;   -60
 +1472; +3934; +2439;   +47;  -706;  -134
 +1443; +3855; +2189;  +131;  -872;  -130
  +606; +3792; +2193;   +38;  -796;  -102
  -109; +3884; +1398;  -158;  -760;  -154
  +228; +3884;  +728;  -261;  -702;  -101
  +178; +3992;   +50;  -275;  -706;  -130
 +1150; +3925;  -206;  -139;  -731;  -165
 +1935; +3992;  -581;   +57;  -669;  -145
 +1712; +4177;  -955;  +267;  -808;  -205
 +1552; +3908;  -785;  +283;  -704;  -202
  +431; +4006;  -477;  +376;  -857;  -197
   -38; +3996;   +68;  +242;  -781;  -222
  -130; +3998;  +348;  +246;  -806;  -173
  -215; +3972;  +932;  +175;  -862;  -204
  +588; +3863; +1008;   -31;  -712;  -207
 +1311; +3863;  +831;   -88;  -795;  -175
 +1550; +3859;  +793;  -290;  -670;  -218
 +1765; +3871;  +306;  -217;  -683;  -224
  +954; +4023;  +164;  -177;  -604;  -222
  +538; +4055;  -143;   -13;  -532;  -254
  +153; +4020;   -56;  +169;  -414;  -224
  -135; +4034;   +46;  +187;  -215;  -235
  +385; +3948;  +286;  +251;   -98;  -218
  +760; +3898;  +956;  +265;  +104;  -194
 +1010; +3893; +1501;  +290;  +206;  -209
 +1264; +3790; +2247;  +223;  +391;  -193
  +865; +3846; +2322;  +124;  +479;  -203
  +711; +3801; +2394;   -84;  +683;  -173
  +448; +3814; +1993;  -185;  +864;  -162
  +189; +3878; +1628;  -177; +1035;  -166
  +467; +3954; +1090;   -56; +1261;  -137
  +557; +4041;  +819;  +148; +1393;  -132
  +920; +3968;  +483;  +221; +1627;  -140
 +1140; +3904;  +475;  +363; +1665;  -129
 +1028; +3890;  +799;  +331; +1804;  -141
  +870; +3925; +1192;  +422; +1829;  -137
  +482; +3947; +1594;  +405; +1879;  -135
  +390; +3915; +1689;  +349; +1914;  -129
  +392; +3844; +1742;  +205; +1991;  -104
  +515; +3888; +1311;   +43; +2065;  -102
  +858; +3865; +1141;    -4; +2125;   -86
  +926; +3937;  +836;   +33; +2199;  -107
 +1039; +3968;  +469;  +174; +2253;   -93
 +1014; +3995;  +230;  +257; +2340;  -106
  +804; +3991;   -22;  +340; +2420;   -98
  +626; +3952;   +52;  +357; +2524;  -108
  +484; +3997;  +187;  +393; +2575;  -106
  +519; +3975;  +617;  +411; +2653;   -93
  +646; +3941;  +822;  +412; +2741;   -89
  +687; +3946;  +948;  +361; +2804;   -96
  +796; +3877;  +963;  +208; +2937;   -77
  +821; +3871;  +877;  +147; +3029;   -63
  +718; +3905;  +689;   +64; +3186;   -63
  +662; +3947;  +463;  +125; +3321;   -66
  +557; +4010;  +324;  +181; +3484;   -65
  +593; +4005;  +103;  +258; +3676;   -50
  +638; +3951;   -20;  +286; +3827;   -48
