=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:41:50 =~=~=~=~=~=~=~=~=~=~=~=
80;  +195;  -526; -4414;  -530
  +779; +4016;  -565;  +250;  -498;  -211
  +855; +4017;  -470;  +255;  -537;  -216
  +869; +4029;  -442;  +239;  -577;  -217
  +791; +4031;  -297;  +240;  -610;  -199
  +657; +4041;  -239;  +220;  -640;  -204
  +548; +4015;  -196;  +215;  -684;  -209
  +505; +4034;  -120;  +180;  -731;  -208
  +527; +4019;    +6;  +169;  -771;  -183
  +620; +4040;   +87;  +152;  -805;  -197
  +717; +3993;   +35;  +138;  -849;  -188
  +799; +4004;  +102;  +120;  -902;  -194
  +796; +4005;  +133;  +112;  -956;  -196
  +699; +4013;  +111;  +120; -1029;  -181
  +625; +4002;  +152;  +105; -1093;  -172
  +529; +3992;  +199;  +112; -1169;  -176
  +530; +4012;  +199;  +109; -1225;  -171
  +598; +3993;  +205;   +90; -1286;  -167
  +669; +4011;  +263;   +82; -1356;  -165
  +752; +4006;  +311;   +71; -1415;  -149
  +751; +3998;  +330;   +84; -1470;  -161
  +755; +4007;  +286;   +83; -1516;  -156
  +698; +3987;  +323;   +69; -1560;  -140
  +642; +4006;  +351;   +67; -1570;  -144
  +575; +3997;  +274;   +52; -1606;  -129
  +601; +3998;  +255;   +50; -1619;  -126
  +646; +4006;  +213;   +41; -1613;  -130
  +696; +3985;  +160;   +53; -1619;  -122
  +763; +3987;  +114;   +37; -1611;  -123
  +797; +4008;   +66;   +39; -1606;  -126
  +763; +3992;   +51;   +37; -1595;  -127
  +736; +4008;   -15;   +27; -1582;  -117
  +678; +4013;  -124;   +23; -1566;  -126
  +652; +4010;  -204;   +22; -1531;  -114
  +680; +4008;  -212;   +13; -1504;  -117
  +696; +4025;  -285;   +18; -1487;  -118
  +765; +4009;  -288;    +2; -1441;  -112
  +794; +3988;  -326;    +3; -1391;  -105
  +790; +4012;  -348;   +10; -1337;  -118
  +799; +4037;  -376;    +6; -1288;  -108
  +742; +4006;  -397;   +12; -1234;  -119
  +682; +4017;  -358;    -2; -1158;  -117
  +690; +4011;  -363;   -15; -1078;  -120
  +708; +4017;  -331;   -18; -1013;  -110
  +757; +4005;  -296;   -14;  -929;  -116
  +761; +4024;  -295;   -12;  -844;  -105
  +782; +4016;  -236;   -36;  -774;  -112
  +790; +4015;  -258;   -18;  -700;  -107
  +793; +4017;  -181;   -21;  -610;   -98
  +738; +4019;  -235;   -26;  -531;  -102
  +689; +4002;  -174;   -26;  -466;  -103
  +671; +4013;   -88;   -37;  -401;   -93
  +699; +4011;   -93;   -37;  -350;   -99
  +729; +3998;   -59;   -53;  -296;   -88
  +748; +3995;   -54;   -47;  -265;   -88
  +761; +4001;   -60;   -44;  -233;  -102
  +784; +4024;   -26;   -51;  -213;  -100
  +761; +4006;   +46;   -58;  -201;   -89
  +750; +4014;   +30;   -72;  -189;   -91
  +737; +4000;   +10;   -65;  -184;   -88
  +731; +3987;   +68;   -78;  -186;   -81
  +684; +4015;   +71;   -82;  -204;   -92
  +698; +4007;   +59;   -74;  -207;   -83
  +743; +3988;   +75;   -69;  -231;   -82
  +751; +3993;  +101;   -79;  -231;   -90
  +749; +4009;   +62;   -95;  -241;   -94
  +758; +4000;   +89;   -95;  -261;   -98
  +734; +4002;   +96;   -78;  -271;   -85
  +732; +4014;  +115;   -90;  -287;   -90
  +734; +4008;   +80;   -94;  -291;   -97
  +705; +3993;  +129;   -93;  -303;   -97
  +711; +4004;  +154;  -127;  -321;   -88
  +713; +4017;   +63;  -126;  -343;   -96
  +746; +4004;    -8;  -143;  -359;   -93
  +726; +3999;   -24;  -142;  -375;  -104
  +731; +3990;   -76;  -148;  -380;   -94
  +729; +3997;   -87;  -137;  -370;   -95
  +734; +4005;  -132;  -147;  -395;  -106
  +703; +4009;  -138;  -127;  -394;   -92
  +710; +4026;  -133;  -135;  -394;  -104
  +693; +4008;  -126;  -137;  -400;  -102
  +717; +3999;  -148;  -136;  -388;   -94
  +717; +3983;  -127;  -141;  -374;   -81
  +776; +4031;  -102;  -151;  -367;   -99
  +743; +4005;   -44;  -159;  -350;  -104
  +732; +4013;   -49;  -166;  -351;  -111
  +732; +3999;   -82;  -168;  -320;   -94
  +706; +4037;  -140;  -199;  -308;   -92
  +708; +4020;  -163;  -174;  -304;   -97
  +729; +4032;  -162;  -172;  -294;   -96
  +732; +4027;  -131;  -181;  -280;  -103
  +745; +4012;  -192;  -184;  -283;  -105
  +753; +4006;  -209;  -167;  -271;   -98
  +725; +4019;  -161;  -172;  -285;   -94
  +723; +4018;  -164;  -168;  -277;   -89
  +711; +3986;   -63;  -158;  -298;   -95
  +705; +4014;   -49;  -179;  -299;   -99
  +738; +3994;   -55;  -191;  -319;   -99
  +731; +4001;   -35;  -196;  -354;   -97
  +722; +4014;   +14;  -197;  -367;  -104
  +720; +4010;   +38;  -193;  -401;  -103
  +727; +4024;   +19;  -191;  -417;   -95
  +725; +4012;   +36;  -189;  -467;  -100
  +698; +3992;   +95;  -181;  -502;  -110
  +683; +3979;  +124;  -185;  -555;  -107
  +662; +4020;  +106;  -191;  -602;  -106
  +681; +3995;  +149;  -190;  -677;  -102
  +683; +3982;  +213;  -199;  -740;  -102
  +711; +4012;  +252;  -183;  -805;   -97
  +699; +4013;  +250;  -191;  -879;  -111
  +711; +3986;  +273;  -192;  -964;   -96
  +695; +4004;  +276;  -192; -1035;  -110
  +735; +3991;  +278;  -195; -1121;  -101
  +670; +4020;  +267;  -190; -1216;  -108
  +691; +3948;  +333;  -225; -1339;  -100
  +675; +4078;  +314;  -213; -1482;   -91
  +483; +4001;  +351;  -235; -1647;  -116
  +700; +3979;   +99;  -277; -1747;  -107
  +935; +4018;   +39;  -291; -1911;  -139
 +1126; +3986;   +98;  -287; -1987;  -140
 +1250; +3967;   +77;  -205; -2072;  -150
 +1139; +4027;   +47;  -169; -2145;  -162
  +727; +3977;  +287;  -130; -2226;  -168
  +457; +3994;  +399;  -164; -2216;  -167
  +286; +4004;  +306;  -206; -2223;  -166
  +295; +4004;  +368;  -244; -2187;  -152
  +480; +3992;  +423;  -263; -2116;  -152
  +870; +3972;  +339;  -242; -2035;  -138
 +1003; +3988;  +181;  -224; -1943;  -140
 +1030; +3973;  +126;  -188; -1836;  -135
  +894; +3993;   +84;  -192; -1693;  -141
  +643; +3984;   -53;  -171; -1570;  -135
  +392; +4036;  -120;  -155; -1466;  -124
  +361; +4050;   -94;  -141; -1337;  -116
  +484; +4037;  -160;  -135; -1200;  -106
  +672; +4021;  -237;  -140; -1058;  -105
  +846; +4005;  -258;  -129;  -931;  -102
  +944; +3990;  -209;  -105;  -766;  -100
  +947; +4012;  -261;   -71;  -662;   -93
  +816; +4006;  -299;   -49;  -520;   -99
  +667; +4019;  -197;   -35;  -386;  -112
  +525; +4024;  -160;   -43;  -247;   -88
  +538; +4003;  -133;   -52;  -106;   -75
  +648; +4010;  -105;   -54;   +17;   -86
  +754; +4025;   -32;   -50;  +137;   -89
  +857; +4042;    -8;   -41;  +261;   -74
  +876; +4031;   -22;   -30;  +355;   -78
  +887; +3989;   -64;   -16;  +435;   -79
  +834; +3996;   -52;    -2;  +528;   -83
  +685; +4004;   -13;    -3;  +586;   -85
  +642; +3997;   -22;    -6;  +635;   -69
  +600; +4013;   -55;   -15;  +665;   -75
  +616; +4004;    +8;    -8;  +686;   -74
  +688; +4009;   +18;    -5;  +714;   -79
  +751; +3991;   -13;    -6;  +694;   -72
  +810; +4006;    -1;    -9;  +686;   -72
  +825; +4009;   +57;    +8;  +672;   -64
  +818; +3994;   +80;    -9;  +648;   -73
  +753; +3995;   +49;   +13;  +610;   -79
  +730; +3986;  +134;   +13;  +561;   -73
  +628; +4015;  +142;   +10;  +515;   -85
  +603; +4014;  +229;   -23;  +462;   -83
  +656; +3998;  +192;   -37;  +404;   -80
  +687; +3990;  +194;   -32;  +355;   -81
  +738; +4001;  +275;   -40;  +299;   -87
  +791; +4003;  +220;   -38;  +256;   -85
  +774; +3995;  +206;   -51;  +197;   -88
  +731; +3999;  +199;   -41;  +126;   -90
  +689; +3998;  +209;   -58;   +78;  -102
  +665; +4010;  +152;   -50;   +18;   -95
  +646; +3989;  +156;   -50;   -23;   -94
  +663; +3997;  +125;   -47;   -69;   -97
  +709; +4035;  +113;   -61;  -109;   -89
  +707; +4030;   +91;   -59;  -127;   -99
  +747; +4013;   +39;   -69;  -159;  -103
  +767; +4023;   +17;   -49;  -184;   -97
  +756; +4021;   +61;   -49;  -177;   -98
  +739; +3995;   -20;   -46;  -210;   -99
  +681; +4022;   -10;   -50;  -202;   -94
  +639; +4006;    -2;   -43;  -190;   -86
  +652; +4016;   -38;   -46;  -176;  -104
  +628; +4010;   -33;   -41;  -151;   -91
  +662; +4038;   -14;   -43;  -134;   -83
  +733; +4012;   -16;   -38;  -101;   -78
  +707; +4005;    -6;   -27;   -69;   -83
  +669; +4019;   -41;   -33;   -40;   -86
  +698; +4018;   -20;   -32;    -8;   -86
  +662; +4026;    -9;   -29;   +28;   -101;   -14;  +266;   +17
  +900; +3967;  -108;    -4;  +262;   +26
  +906; +3971;   -37;    -4;  +271;   +28
  +910; +3967;   -69;   -13;  +280;   +17
  +889; +3977;   -37;    -5;  +267;   +15
  +932; +3988;   -55;    +9;  +269;   +11
  +905; +3978;   -46;   -16;  +265;   +25
  +891; +3949;   -92;   -12;  +268;   +14
  +888; +3983;   -82;    -2;  +264;   +15
  +915; +3960;   -91;    +2;  +272;   +32
  +889; +3976;   -97;    +8;  +268;    +8
  +896; +3985;  -132;    +5;  +266;   +14
  +898; +3964;   -89;    +2;  +261;   +15
  +935; +3960;  -101;    +3;  +248;   +19
  +921; +3924;  -109;    -5;  +236;    +9
  +927; +3946;  -137;    -3;  +226;   +11
  +899; +3971;   -75;    -7;  +209;    +1
  +931; +3995;  -156;    +0;  +205;   +19
  +918; +3976;  -156;    -8;  +190;    +0
  +933; +3971;  -153;    -5;  +172;    +0
  +909; +3963;  -189;   -16;  +177;    +6
  +917; +3988;  -203;   -14;  +163;    +3
  +879; +3978;  -232;    -5;  +163;   -12
  +881; +4002;  -229;   -12;  +149;   -12
  +917; +3984;  -246;   -19;  +141;   +10
  +897; +3980;  -239;    -9;  +111;   +18
  +899; +3959;  -276;   -26;  +113;    -3
  +923; +3955;  -222;   -20;   +93;    +8
  +953; +3946;  -217;   -22;   +83;    +7
  +923; +3984;  -285;   -26;   +68;     +3987;    -5;  -176; -1073;   -60
  +907; +3975;   +26;  -178; -1089;   -58
  +903; +3945;   +90;  -172; -1090;   -63
  +926; +3966;    +6;  -177; -1100;   -57
  +900; +3954;    +4;  -176; -1123;   -74
  +858; +3988;   -16;  -168; -1118;   -61
  +875; +3961;    -9;  -169; -1117;   -67
  +873; +3950;   -17;  -177; -1120;   -77
  +879; +3965;   -65;  -155; -1098;   -68
  +867; +3980;   -77;  -147; -1098;   -70
  +882; +3974;  -120;  -144; -1081;   -65
  +879; +3961;  -123;  -144; -1069;   -66
  +861; +3959;  -133;  -158; -1047;   -65
  +880; +3975;  -112;  -150; -1041;   -64
  +880; +3970;  -137;  -131;  -999;   -58
  +878; +3961;  -170;  -139;  -972;   -59
