=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 18:04:34 =~=~=~=~=~=~=~=~=~=~=~=
;  -266;  -130;  -113;   +43
 +1320; +3891;  -239;   -75;   -26;   -49
 +1326; +3874;  -211;   -82;   -13;   -47
 +1307; +3850;  -200;   -66;   -24;   -58
 +1287; +3858;  -257;   -69;   -12;   -47
 +1295; +3857;  -212;   -74;    -9;   -58
 +1313; +3857;  -256;   -76;   -17;   -49
 +1341; +3873;  -240;   -57;    -9;   -62
 +1321; +3870;  -232;   -50;   -23;   -53
 +1291; +3847;  -210;   -60;   -16;   -53
 +1309; +3856;  -199;   -61;   -37;   -62
 +1304; +3851;  -227;   -59;   -41;   -53
 +1309; +3871;  -139;   -59;   -60;   -54
 +1351; +3878;  -203;   -60;   -95;   -50
 +1350; +3864;  -194;   -57;  -102;   -60
 +1349; +3865;  -136;   -68;  -125;   -60
 +1313; +3855;  -179;   -85;  -143;   -53
 +1319; +3862;  -136;   -89;  -176;   -59
 +1320; +3862;  -150;   -96;  -195;   -59
 +1324; +3858;  -129;   -92;  -216;   -56
 +1334; +3858;  -149;  -106;  -226;   -55
 +1319; +3880;  -142;  -102;  -246;   -59
 +1309; +3854;  -175;  -117;  -262;   -47
 +1295; +3851;  -169;  -109;  -259;   -61
 +1264; +3870;  -167;  -109;  -264;   -55
 +1272; +3877;  -156;  -115;  -266;   -52
 +1282; +3879;  -199;  -115;  -261;   -60
 +1267; +3877;  -216;  -117;  -255;   -54
 +1262; +3868;  -222;  -110;  -243;   -59
 +1256; +3894;  -278;  -107;  -225;   -47
 +1277; +3882;  -223;   -98;  -217;   -58
 +1251; +3881;  -223;   -81;  -182;   -49
 +1292; +3859;  -267;   -77;  -155;   -49
 +1306; +3859;  -217;   -67;  -141;   -46
 +1286; +3843;  -287;   -64;  -114;   -53
 +1293; +3875;  -260;   -56;   -84;   -40
 +1280; +3878;  -224;   -56;   -61;   -56
 +1282; +3857;  -223;   -40;   -49;   -49
 +1286; +3887;  -222;   -37;   -18;   -56
 +1281; +3871;  -165;   -41;    +7;   -56
 +1287; +3882;  -218;   -28;   +26;   -48
 +1289; +3889;  -193;   -34;   +41;   -55
 +1268; +3860;  -208;   -38;   +59;   -43
 +1279; +3859;  -162;   -35;   +59;   -57
 +1253; +3872;  -203;   -24;   +62;   -55
 +1264; +3858;  -223;   -32;   +73;   -38
 +1270; +3863;  -212;   -24;   +77;   -45
 +1262; +3889;  -183;   -37;   +85;   -33
 +1267; +3871;  -242;   -39;   +68;   -50
 +1245; +3900;  -277;   -47;28
 +1287; +3855;  -285;   -54;   +33;   -18
 +1343; +3875;  -229;   -53;   +61;   -22
 +1301; +3859;  -205;   -57;   +58;   -28
 +1299; +3873;  -273;   -64;   +74;   -35
 +1277; +3867;  -275;   -55;   +80;   -21
 +1259; +3894;  -244;   -63;   +77;   -27
 +1302; +3844;  -267;   -65;   +63;   -28
 +1303; +3853;  -228;   -72;   +52;   -28
 +1318; +3874;  -259;   -73;   +52;   -27
 +1316; +3862;  -255;   -76;   +49;   -26
 +1296; +3861;  -271;   -89;   +21;   -30
 +1312; +3845;  -332;   -63;   +12;   -35
 +1319; +3887;  -290;   -87;    +0;   -28
 +1340; +3866;  -223;   -83;   -16;   -23
 +1354; +3832;  -193;   -71;   -43;   -40
 +1346; +3846;  -221;   -76;   -52;   -25
 +1368; +3853;  -173;   -91;   -65;   -23
 +1337; +3852;  -208;  -107;   -72;   -31
 +1336; +3860;  -262;  -115;   -90;   -35
 +1312; +3866;  -222;  -124;  -119;   -25
 +1355; +3902;  -261;  -138;  -153;   -31
 +1387; +3856;  -285;  -140;  -175;   -48
 +1360; +3860;  -270;  -127;  -214;   -35
 +1331; +3858;  -272;  -146;  -271;   -33
 +1287; +3847;  -217;  -161;  -305;   -45
 +1298; +3852;  -247;  -152;  -349;   -42
 +1281; +3863;  -303;  -166;  -354;   -43
 +1288; +3902;  -191;  -192;  -395;   -41
 +1300; +3902;  -273;  -207;  -442;   -34
 +1288; +3890;  -265;  -213;  -459;   -37
 +1299; +3862;  -274;  -231;  -456;   -50
 +1299; +3875;  -287;  -244;  -469;   -38
 +1320; +3867;  -363;  -233;  -487;   -46
 +1297; +3881;  -262;  -214;  -476;   -50
 +1292; +3894;  -302;  -212;  -483;   -41
 +1282; +3861;  -334;  -206;  -455;   -53
 +1312; +3860;  -315;  -194;  -434;   -30
 +1330; +3863;  -327;  -206;  -410;   -47
 +1308; +3872;  -312;  -204;  -386;   -56
 +1299; +3882;  -279;  -204;  -370;   -49
 +1273; +3854;  -312;  -191;  -336;   -51
 +1271; +3876;  -272;  -185;  -307;   -61
 +1286; +3858;  -281;  -184;  -272;   -40
 +1276; +3868;  -310;  -179;  -242;   -62
 +1251; +3880;  -225;  -175;  -195;   -47
 +1251; +3875;  -231;  -139;  -151;   -52
 +1247; +3861;  -269;  -129;  -120;   -54
 +1275; +3900;  -286;  -119;   -76;   -52
 +1269; +3858;  -238;  -127;   -33;   -54
 +1262; +3869;  -252;  -134;   +25;   -42
 +1266; +3870;  -216;  -123;   +64;   -54
 +1259; +3866;  -173;  -114;  +125;   -53
 +1256; +3860;  -202;  -109;  +171;   -65
 +1231; +3867;  -192;   -98;  +204;   -54
 +1294; +3873;  -242;   -93;  +239;   -63
 +1274; +3862;  -262;   -81;  +265;   -57
 +1283; +3881;  -286;   -94;  +283;   -60
 +1279; +3870;  -303;   -98;  +294;   -61
 +1291; +3848;  -274;   -98;  +298;   -64
 +1283; +3876;  -310;   -96;  +303;   -59
 +1282; +3876;  -338;   -99;  +293;   -60
 +1309; +3864;  -345;  -108;  +265;   -77
 +1339; +3851;  -318;  -110;  +233;   -57
 +1318; +3877;  -337;  -105;  +212;   -58
 +1285; +3872;  -302;   -85;  +161;   -59
 +1335; +3864;  -306;   -95;  +118;   -63
 +1318; +3866;  -288;   -92;   +70;   -61
 +1340; +3852;  -304;  -102;   +26; 74; +3874;  -350;   -61;  +328;  -116
 +1344; +3869;  -296;   -93;  +304;  -114
 +1378; +3834;  -287;   -81;  +272;  -115
 +1386; +3816;  -272;  -107;  +244;  -121
 +1390; +3852;  -307;   -99;  +208;  -131
 +1369; +3883;  -336;  -105;  +197;  -126
 +1393; +3847;  -342;  -133;  +171;  -113
 +1336; +3865;  -323;  -108;  +159;  -131
 +1330; +3855;  -306;  -121;  +147;  -146
 +1344; +3853;  -306;  -116;  +123;  -143
 +1288; +3866;  -336;  -114;   +98;  -122
 +1270; +3894;  -352;  -121;   +90;  -131
 +1237; +3893;  -363;  -118;   +53;  -121
 +1216; +3882;  -325;  -139;    +9;  -137
 +1236; +3863;  -286;  -138;   -15;  -141
 +1251; +3893;  -287;  -149;   -64;  -123
 +1218; +3901;  -261;  -140;   -82;  -121
 +1213; +3903;  -236;  -147;   -95;  -126
 +1182; +3886;  -173;  -146;   -94;  -122
 +1211; +3900;  -156;  -149;   -95;  -127
 +1250; +3924;  -104;  -155;   -85;  -118
 +1234; +3891;  -162;  -154;   -49;  -136
 +1283; +3886;  -185;  -165;   -23;  -123
 +1250; +3898;  -123;  -171;    -3;  -136
 +1239; +3890;   -98;  -157;   +30;  -120
 +1227; +3900;   -64;  -130;   +71;  -127
 +1231; +3877;   -75;  -119;   +98;  -119
 +1228; +3885;   -96;  -113;  +115;  -115
 +1147; +3930;  -125;  -120;  +132;  -124
 +1158; +3913;  -188;  -112;  +146;  -112
 +1154; +3905;  -128;  -124;  +126;  -109
 +1195; +3911;  -150;  -136;  +144;  -120
 +1162; +3909;  -166;  -134;  +138;  -114
 +1175; +3890;  -255;  -140;  +101;  -118
 +1177; +3889;  -234;  -135;   +88;  -117
 +1190; +3917;  -194;  -129;   +73;  -107
 +1207; +3890;  -144;  -114;   +47;  -105
 +1244; +3865;  -185;  -112;   +22;  -107
 +1302; +3875;  -212;  -126;    +8;  -111
 +1315; +3857;  -182;  -141;   -23;  -103
 +1305; +3876;  -212;  -149;   -49;  -111
 +1329; +3876;  -167;  -157;   -64;  -109
 +1291; +3890;  -144;  -175;   -84;  -111
 +1346; +3865;  -151;  -170;   -91;  -119
 +1339; +3871;  -208;  -171;   -96;  -122
 +1333; +3842;  -160;  -168;  -122;  -119
 +1372; +3857;  -196;  -161;  -111;  -114
 +1303; +3882;  -248;  -183;  -108;  -141
 +1304; +3900;  -251;  -165;   -96;  -115
 +1310; +3898;  -319;  -165;   -67;  -126
 +1330; +3889;  -364;  -206;  -316;  -135
 +1792; +3747;  -166;  -181;  -121;  -105
 +1198; +3878;  -140;  -184;  -100;  -141
 +1396; +3871;  -309;  -183;  -147;  -153
  +947; +3968;  -353;  -165;  -110;  -144
 +1377; +3853;  -220;  -139;   -41;  -180
 +1521; +3812;  -222;  -139;    +9;  -152
 +1238; +3899;  -261;  -120;   +90;  -144
 +1337; +3844;  -244;  -107;  +215;  -175
 +1115; +3917;  -217;  -100;  +337;  -175
 +1282; +3883;  -277;   -60;  +490;  -190
 +1165; +3882;  -302;   -28;  +637;  -198
 +1435; +3867;  -348;   +13;  +785;  -190
 +1408; +3830;  -180;   +27;  +926;  -182
 +1203; +3867;  -364;   +62; +1093;  -209
 +1232; +3902;  -313;  +126; +1223;  -204
 +1179; +3898;  -274;  +135; +1386;  -226
 +1346; +3840;  -255;  +147; +1503;  -224
 +1439; +3847;  -258;  +155; +1497;  -220
 +1510; +3903;  -466;  +125; +1573;  -244
 +1424; +3890;  -552;  +174; +1653;  -221
 +1168; +3902;  -325;  +259; +1655;  -259
 +1323; +3848;  +143;  +179; +1729;  -270
 +1433; +3805;  -145;  +193; +1737;  -253
 +1468; +3807;  -594;  +229; +1758;  -267
 +1467; +3856;  -505;  +160; +1770;  -285
 +1240; +3898;  -280;  +141; +1759;  -277
 +1226; +3780;  -439;  +125; +1693;  -304
 +1382; +3806;  -306;   +79; +1422;  -313
 +1958; +3919;  -623;   +74; +1322; 
  -562; -3531; -1684; +3365; +2384; +3820
  -188; -3582; -1632; +3649; +3873; +3768
  -429; -3568; -2574; +3931; +5147; +3672
   -72; -3698; -2314; +3764; +4866; +3679
  -431; -3697; -2829; +3387; +3473; +3685
  -311; -3816; -3066; +2900; +1310; +3728
  -542; -3801; -3264; +2813;   +68; +3798
  -626; -3791; -2380; +2891;  -190; +3744
  -231; -3860; -2641; +3009;   +93; +3717
  -747; -3714; -2732; +3426;  +601; +3627
  -708; -3701; -1606; +3202;  +627; +3542
  -734; -3654; -1650; +3162;  +360; +3481
  -524; -3702;  -980; +3005;  +287; +3467
  -680; -3642; -2088; +3029;  +402; +3498
  -894; -3568; -1202; +3153;  +485; +3538
  -568; -3606; -2375; +3202;  +509; +3627
  -486; -3580; -2006; +3556;  +571; +3644
  -390; -3603; -2422; +3473;  +617; +3656
  -604; -3528; -1960; +3624;  +536; +3604
  -537; -3586; -1976; +3500;  +581; +3526
  -486; -3600; -2272; +3439;  +656; +3429
  -444; -3661; -2385; +3412;  +631; +3376
  -678; -3618; -2806; +3351;  +592; +3342
  -610; -3628; -2512; +3496;  +515; +3379
  -658; -3640; -2974; +3509;  +422; +3431
  -703; -3588; -2534; +3618;  +287; +3491
  -581; -3617; -2232; +3594;  +177; +3523
  -649; -3560; -1710; +3480;   +79; +3500
  -576; -3607; -1747; +3392;   -36; +3466
  -631; -3600; -1214;43; +2645
 -1242; -3569;  -857; +2434;  -330; +2634
  -913; -3573;  -931; +2410;  -646; +2627
  -668; -3632;  -842; +2404;  -850; +2584
  -724; -3658;  -917; +2412;  -936; +2568
 -1173; -3518; -1020; +2451; -1025; +2525
 -1218; -3530;  -812; +2374; -1105; +2508
  -945; -3513;  -647; +2351; -1158; +2547
 -1009; -3526;  -643; +2369; -1049; +2577
 -1336; -3464;  -570; +2435;  -703; +2591
 -1424; -3455;  -518; +2574;  -119; +2626
 -1162; -3517;  -525; +2728;  +497; +2643
 -1022; -3543;  -327; +2850;  +714; +2627
 -1171; -3547;  -347; +2879; +1028; +2609
 -1249; -3522;  -541; +2921; +1228; +2580
 -1098; -3546;  -562; +2931; +1383; +2577
 -1084; -3524;  -394; +2931; +1535; +2568
 -1130; -3544;  -663; +2956; +1652; +2589
 -1239; -3505;  -914; +3001; +1827; +2610
 -1170; -3504;  -866; +3051; +2119; +2644
 -1094; -3571;  -811; +3108; +2340; +2663
 -1044; -3593;  -805; +3122; +2437; +2653
  -968; -3596;  -725; +3013; +2076; +2639
  -971; -3593;  -952; +2851; +1800; +2590
  -994; -3613;  -375; +2841; +1503; +2585
 -1060; -3564;  -495; +2677; +1359; +2559
  -963; -3569;  -890; +2699; +1185; +2548
 -1027; -3568;  -589; +2515;  +898; +2557
  -978; -3588;  -625; +2462;  +775; +2596
 -1085; -3550;  -542; +2382;  +824; +2606
 -1125; -3530;  -805; +2374;  +861; +2613
 -1178; -3512;  -260; +2350;  +871; +2629
