=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:46:07 =~=~=~=~=~=~=~=~=~=~=~=
2;  -106
 +2010; -3933;   +53;  -382;  +425;  -110
 +2021; -3936;   +78;  -391;  +424;  -102
 +2016; -3941;   +87;  -396;  +423;  -101
 +1997; -3937;   +77;  -409;  +429;   -83
 +1970; -3933;   +82;  -413;  +439;   -74
 +2007; -3929;   +79;  -419;  +447;   -66
 +1963; -3915;   +65;  -429;  +450;   -68
 +1973; -3963;   +22;  -455;  +475;   -39
 +1968; -3923;   +71;  -454;  +487;   -40
 +1972; -3923;    -5;  -464;  +505;   -40
 +1961; -3918;    -2;  -485;  +520;   -28
 +1960; -3935;    +2;  -500;  +537;   -26
 +1949; -3913;   -44;  -509;  +555;   -19
 +1922; -3937;   -32;  -523;  +558;   -21
 +1950; -3917;    +1;  -543;  +573;   -17
 +1927; -3924;    -6;  -562;  +566;   -21
 +1879; -3931;    -9;  -565;  +565;    -5
 +1903; -3942;    +8;  -574;  +569;    +0
 +1916; -3937;   +45;  -573;  +570;    -4
 +1910; -3920;   +89;  -569;  +555;    +5
 +1882; -3935;   +80;  -597;  +551;    +2
 +1847; -3938;   +40;  -580;  +539;    +5
 +1840; -3923;   +91;  -602;  +516;    +8
 +1848; -3909;   +63;  -588;  +494;    -5
 +1820; -3909;   +20;  -597;  +466;    +0
 +1818; 0;  -511;  +676;   +89
 +1920; -3826;  -264;  -508;  +656;   +91
 +1890; -3843;  -289;  -489;  +630;  +104
 +1898; -3856;  -268;  -476;  +607;   +87
 +1874; -3828;  -305;  -461;  +582;   +77
 +1869; -3836;  -342;  -451;  +573;  +100
 +1901; -3813;  -365;  -430;  +565;   +86
 +1886; -3840;  -305;  -438;  +541;   +88
 +1902; -3822;  -254;  -412;  +542;   +84
 +1906; -3821;  -276;  -415;  +537;   +84
 +1904; -3792;  -294;  -412;  +549;   +92
 +1875; -3792;  -295;  -401;  +568;   +80
 +1903; -3785;  -301;  -413;  +589;   +87
 +1894; -3774;  -329;  -417;  +603;   +76
 +1881; -3770;  -368;  -420;  +639;   +83
 +1874; -3772;  -404;  -416;  +653;   +87
 +1901; -3768;  -384;  -408;  +685;   +78
 +1868; -3833;  -397;  -429;  +705;   +93
 +1881; -3806;  -386;  -425;  +742;   +89
 +1890; -3834;  -372;  -427;  +762;   +88
 +1893; -3829;  -336;  -433;  +806;   +77
 +1897; -3808;  -320;  -418;  +831;   +80
 +1882; -3808;  -365;  -411;  +859;   +83
 +1887; -3803;  -344;  -400;  +902;   +83
 +1923; -3806;  -315;  -393;  +929;   +82
