=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:42:23 =~=~=~=~=~=~=~=~=~=~=~=
;  -446; -2059;   +51
 -1378; -4660;  -855;  -447; -2256;   +56
 -1400; -4698; -1031;  -411; -2461;   +37
 -1485; -4722; -1038;  -452; -2651;   +29
 -1536; -4739;  -990;  -465; -2827;   +21
 -1531; -4777; -1070;  -468; -3028;    +8
 -1543; -4806; -1073;  -465; -3205;    +4
 -1555; -4791; -1086;  -431; -3360;   -20
 -1562; -4818; -1073;  -424; -3514;   -44
 -1609; -4864; -1038;  -438; -3641;   -15
 -1565; -4856; -1048;  -440; -3756;   -36
 -1580; -4865; -1083;  -400; -3856;   -37
 -1586; -4894; -1162;  -386; -3934;   -46
 -1652; -4877; -1059;  -340; -4008;   -56
 -1679; -4893; -1049;  -332; -4018;   -62
 -1703; -4900; -1074;  -309; -4012;   -68
 -1709; -4859; -1067;  -259; -4001;   -62
 -1780; -4856; -1027;  -212; -3966;   -72
 -1805; -4820;  -982;  -187; -3882;   -77
 -1867; -4807;  -942;  -137; -3794;   -73
 -1878; -4776;  -945;   -93; -3677;   -85
 -1919; -4711;  -872;   -43; -3540;   -87
 -1947; -4661;  -814;   +12; -3389;   -89
 -1979; -4638;  -772;   +61; -3220;   -98
 -2036; -4608;  -722;  +111; -3005;   -97
 -2078; -4577;  -707;  +175; -2765;   -89
 -2083; -4554;  -693;  +240; -2522;   -79
 -2159; -4469;  -576;  +314; -2249;   -86
 -2192; -4435;  -587;  +364; -1937;   -96
 -2252; -4406;  -519;  +415; -1603;   -93
 -2245; -4359;  -510;  +469; -1273;   -90
 -2221; -4298;  -470;  +557;  -917;   -90
 -2246; -4286;  -406;  +586;  -561;  -103
 -2230; -4291;  -364;  +643;  -175;  -113
 -2209; -4298;  -367;  +670;  +235;  -111
 -2171; -4312;  -432;  +719;  +603;  -103
 -2147; -4321;  -406;  +754; +1024;  -102
 -2114; -4350;  -444;  +800; +1391;  -118
 -2079; -4376;  -505;  +820; +1801;  -114
 -2021; -4402;  -539;  +835; +2176;  -136
 -1975; -4418;  -595;  +850; +2531;  -138
 -1906; -4418;  -592;  +866; +2839;  -147
 -1767; -4522;  -608;  +884; +3159;  -160
 -1654; -4607;  -708;  +874; +3408;  -171
 -1507; -4696;  -750;  +844; +3636;  -198
 -1382; -4801;  -898;  +822; +3767;  -211
 -1191; -4893; -1149;  +797; +3877;  -221
 -1026; -4970; -1263;  +790; +3894;  -203
  -912; -5004; -1399;  +769; +3854;  -232
  -790; -5040; -1495;  +737; +3716;  -251
  -705; -5067; -1504;  +727; +3486;  -259
  -683; -5041; -1387;  +738; +3218;  -273
  -593; -5046; -1291;  +747; +2831;  -275
  -556; -5008; -1060;  +746; +2416;  -302
  -561; -4959;  -977;  +777; +1933;  -320
  -601; -4888;  -851;  +825; +1383;  -338
  -619; -4835;  -833;  +822;  +841;  -355
  -647; -4763;  -786;  +865;  +277;  -391
  -656; -4737;  -808;  +884;  -308;  -408
  -736; -4628;  -912;  +899;  -918;  -425
  -735; -4562;  -918;  +919; -1512;  -429
  -755; -4506;  -925;  +924; -2093;  -441
  -743; -4458;  -873;  +904; -2697;  -453
  -753; -4368;  -768;  +861; -3228;  -481
  -712; -4322;  -644;  +804; -3755;  -481
  -732; -4238;  -590;  +730; -4270;  -477
  -687; -4177;  -478;  +645; -4755;  -484
  -702; -4121;  -408;  +556; -5201;  -482
  -678; -4002;  -332;  +418; -5580;  -481
  -690; -3962;  -352;  +294; -5918;  -466
  -664; -3878;  -415;  +161; -6246;  -481
  -667; -3857;  -347;   +18; -6521;  -478
  -612; -3827;  -406;  -126; -6752;  -488
  -606; -3797;  -331;  -293; -6949;  -484
  -589; -3724;  -332;  -461; -7122;  -472
  -496; -3718;  -237;  -586; -7249;  -484
  -459; -3657;  -181;  -689; -7385;  -480
  -387; -3636;   -86;  -799; -7465;  -490
  -312; -3635;   +69;  -908; -7533;  -489
  -253; -3661;  +127;  -991; -7594;  -483
  -125; -3717;  +183; -1045; -7655;  -499
   +22; -3794;  +155; -1082; -7689;  -494
  +122; -3840;  +154; -1100; -7731;  -504
  +246; -3846;   +34; -1091; -7752;  -497
  +362; -3871;   +45; -1048; -7789;  -507
  +445; -3863;   -26;  -992; -7808;  -512
  +578; -3880;   +67;  -905; -7848;  -505
  +646; -3890;  +245;  -812; -7871;  -509
  +751; -3888;  +390;  -698; -7870;  -511
  +825; -3882;  +540;  -550; -7885;  -513
  +887; -3875;  +705;  -419; -7895;  -526
  +958; -3877;  +852;  -273; -7866;  -515
 +1018; -3892;  +998;  -113; -7817;  -509
 +1104; -3893; +1017;   +12; -7735;  -507
 +1149; -3868;  +988;  +145; -7618;  -512
 +1216; -3853;  +879;  +269; -7479;  -507
 +1315; -3893;  +826;  +365; -7295;  -492
 +1429; -3900;  +824;  +453; -7080;  -474
 +1477; -3899;  +869;  +497; -6824;  -465
 +1600; -3901;  +964;  +524; -6520;  -460
 +1743; -3874; +1143;  +539; -6226;  -428
 +1828; -3890; +1262;  +542; -5875;  -413
 +1895; -3888; +1394;  +485; -5508;  -406
 +1953; -3824; +1526;  +441; -5149;  -375
 +1955; -3785; +1625;  +353; -4729;  -347
 +1996; -3753; +1629;  +289; -4373;  -341
 +1972; -3706; +1617;  +219; -4018;  -307
