=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:40:49 =~=~=~=~=~=~=~=~=~=~=~=
;    +9;  -565; -2421;  -149
  +923; +3976;  +272;  +115; +1177;    +9
  +955; +3955;  +289;  +127; +1148;    +9
  +927; +3978;  +297;  +126; +1108;    +7
  +953; +3941;  +304;  +122; +1078;    +7
  +945; +3955;  +263;  +129; +1045;    -7
  +960; +3968;  +226;  +114; +1007;    +7
  +965; +3972;  +189;  +120;  +963;    +2
  +950; +3956;  +230;  +123;  +922;    -2
  +952; +3953;  +167;  +112;  +880;    -5
  +929; +3961;  +197;  +119;  +837;   -10
  +945; +3972;  +289;  +121;  +804;    +0
  +947; +3946;  +214;  +116;  +776;    -1
  +964; +3968;  +192;   +97;  +724;    -8
  +935; +3947;  +199;  +101;  +700;    -9
  +956; +3951;  +209;  +103;  +689;   -18
  +962; +3960;  +214;   +88;  +651;   -18
  +976; +3968;  +195;   +92;  +633;   -19
  +946; +3957;  +210;  +100;  +611;   -17
  +965; +3942;  +195;   +84;  +606;   -18
  +964; +3951;  +140;   +81;  +587;   -28
  +975; +3978;  +158;   +76;  +578;   -32
  +969; +3952;  +125;   +85;  +583;   -22
  +981; +3985;  +115;   +80;  +584;   -30
  +981; +3978;  +124;   +85;  +588;   -25
  +927; +3954;  +109;   +91;  +588;   -20
  +957; +3974;  +123;   +80;  +604;   -27
  +956; +3965;  +114;   +76;  +624;   -35
  +948; +3952;  +103;   +78;  +631;   -27
  +891; +3968;  +130;   +71;  +636;   -29
  +929; +3969;  +114;   +74;  +653;   -20
  +916; +3984;  +107;   +75;  +673;   -19
  +926; +3978;   +85;   +71;  +676;   -18
  +948; +3956;   +78;   +76;  +689;   -32
  +933; +3975;   +90;   +84;  +704;   -28
  +945; +3964;  +127;   +81;  +721;   -21
  +961; +3982;  +119;   +92;  +743;   -27
  +917; +3977;  +130;   +80;  +754;   -27
  +897; +3983;  +194;   +75;  +759;   -15
  +903; +3964;  +197;   +68;  +754;   -20
  +911; +3967;  +181;   +75;  +771;   -23
  +902; +3979;  +184;   +81;  +775;   -13
  +925; +3971;  +217;   +72;  +759;   -16
  +935; +3970;  +210;   +60;  +756;   -11
  +939; +3961;  +198;   +51;  +746;   -17
  +945; +3969;  +203;   +66;  +734;   -30
  +954; +3976;  +165;   +66;  +712;   -20
  +931; +3975;  +182;   +62;  +694;   -10
  +914; +3973;  +195;   +64;  +678;   -18
  +926; +3986;  +226;   +67;  +646;   -14
  +943; +3954;  +287;   +57;  +615;   -12
  +938; +3957;  +290;   +63;  +613;   -16
  +947; +3967;  +240;   +58;  +565;   -17
  +953; +3954;  +261;   +53;  +517;   -13
  +964; +3952;  +275;   +45;  +488;   -18
  +920; +3963;  +229;   +32;  +442;   -26
  +927; +3961;  +230;   +45;  +388;   -20
  +933; +3955;  +233;   +26;  +357;   -27
  +922; +3950;  +244;   +39;  +316;   -19
  +954; +3972;  +201;   +48;  +275;   -16
  +935; +3956;  +236;   +36;  +232;   -28
  +906; +3972;  +205;   +51;  +193;   -20
  +933; +3940;  +242;   +37;  +150;   -29
  +918; +3966;  +249;   +28;  +108;   -29
  +946; +3966;  +297;   +18;   +66;   -32
  +924; +3946;  +244;   +14;   +47;   -32
  +926; +3944;  +239;   -11;   +11;   -43
  +954; +3963;  +203;    +7;   -29;   -41
  +951; +3960;  +244;    +3;   -61;   -18
  +948; +3982;  +207;    +0;   -86;   -29
  +970; +3969;  +202;   +16;   -93;   -32
  +963; +3972;  +144;   +13;  -123;   -35
  +946; +3969;  +171;   +14;  -136;   -45
  +923; +3966;  +144;    +6;  -139;   -36
  +917; +3961;  +140;    +9;  -154;   -29
  +941; +3995;  +151;    +7;  -164;   -36
  +944; +3957;  +192;    +9;  -179;   -53
  +955; +3984;  +183;    -2;  -179;   -29
  +979; +3957;  +193;    +1;  -183;   -34
  +948; +3955;  +160;    -9;  -181;   -32
  +950; +3957;  +164;   -15;  -164;   -40
  +961; +3952;  +114;   -17;  -159;   -56
  +939; +3966;  +105;   -11;  -166;   -36
  +933; +3964;   +98;    -9;  -152;   -40
  +948; +3971;  +111;   -10;  -144;   -43
  +935; +3984;  +114;    -7;  -137;   -37
  +956; +3968;   +73;   -17;  -118;   -48
  +955; +3999;   +92;    +1;  -112;   -45
  +956; +3966;  +110;    -8;  -100;   -43
  +933; +3955;   +94;    -5;   -99;   -51
  +920; +3959;   +85;    -7;   -71;   -43
  +893; +3978;  +154;   -10;   -74;   -40
  +900; +3960;  +123;   -17;   -63;   -51
  +890; +3995;  +111;   -29;   -47;   -45
  +912; +3967;  +136;   -26;   -34;   -43
  +883; +3972;  +127;   -24;   -29;   -32
  +917; +3959;  +177;   -11;   -16;   -48
  +944; +3963;  +146;   -25;    +6;   -29
  +914; +3946;  +140;   -25;    +1;   -28
  +914; +3969;  +131;   -26;   +29;   -36
  +942; +3976;  +179;   -12;   +33;   -34
  +937; +3978;  +218;   -10;   +46;   -40
  +907; +3970;  +208;   -10;   +55;   -30
  +915; +3957;  +200;   -10;   +46;   -36
  +930; +3977;  +216;   -12;   +67;   -24
  +929; +3959;  +206;   -22;   +68;   -31
  +937; +3988;  +223;   -35;   +59;   -34
  +933; +3961;  +251;   -24;   +58;   -22
  +931; +3964;  +230;   -19;   +59;   -26
  +951; +3968;  +236;   -28;   +58;   -31
  +963; +3944;  +230;   -22;   +55;   -26
  +928; +3966;  +198;   -21;   +43;   -28
  +920; +3930;  +198;   -33;   +22;   -39
  +920; +3952;  +220;   -21;   +22;   -33
  +951; +3948;  +263;    -9;   +11;   -31
  +918; +3950;  +259;   -16;    -6;   -25
  +913; +3983;  +211;   -18;   -24;   -30
  +935; +3956;  +234;   -19;   -30;   -45
  +927; +3961;  +228;   -23;   -47;   -33
  +951; +3965;  +260;   -30;   -68;   -27
  +935; +3979;  +231;   -35;   -72;   -27
  +941; +3961;  +201;   -23;   -76;   -27
  +922; +3940;  +224;   -16;  -102;   -29
  +930; +3946;  +214;   -26;   -81;   -36
  +927; +3981;  +250;   -29;   -87;   -22
  +910; +3949;  +222;   -21;   -85;   -32
  +928; +3954;  +233;    +1;   -78;   -32
  +937; +3984;  +254;   -17;   -72;   -32
  +936; +3964;  +258;   -13;   -68;   -37
  +927; +3951;  +220;    -5;   -46;   -29
  +927; +3949;  +247;   -16;   -35;   -28
  +940; +3955;  +242;   -20;    -7;   -19
  +932; +3954;  +227;   -24;   -11;   -37
  +942; +3973;  +204;   -17;    +4;   -21
  +923; +3975;  +200;    -8;   +28;   -25
  +939; +3970;  +197;   -18;   +50;   -24
  +927; +3967;  +160;   -14;   +81;   -33
  +940; +3971;  +162;   -19;   +96;   -29
  +936; +3955;  +105;    -9;  +106;   -32
  +912; +3985;  +127;   -17;  +123;   -26
  +921; +3969;  +109;    -2;  +150;   -27
  +936; +3971;  +124;   -15;  +161;   -21
  +923; +3947;  +108;    -2;  +182;   -26
  +930; +3959;  +122;    -8;  +206;   -19
  +911; +3971;  +103;    -4;  +218;   -18
  +918; +3992;   +91;    +9;  +241;   -22
  +918; +3987;  +134;    -4;  +257;   -24
  +895; +3979;  +135;    -4;  +282;    -8
  +922; +3979;  +119;   -15;  +296;    -6
  +917; +3969;   +76;   -15;  +312;    -2
  +911; +3962;   +80;   -23;  +341;   -10
  +873; +3966;  +107;   -25;  +333;    -3
  +897; +3953;   +87;   -31;  +337;    +1
  +899; +3965;  +105;   -28;  +358;    -1
  +894; +3971;   +82;   -33;  +343;    -2
  +870; +3976;   +85;   -21;  +341;   +20
  +905; +3947;   +99;   -25;  +335;   +12
  +938; +3990;   +87;   -37;  +337;    -3
  +915; +3957;   +88;   -33;  +320;    +6
  +923; +4001;  +146;   -27;  +302;    +8
  +923; +3978;  +108;   -44;  +271;    +1
  +898; +3973;  +174;   -55;  +231;    +0
  +946; +3956;  +177;   -42;  +192;    +5
  +928; +3987;  +139;   -58;  +145;    +1
  +906; +3963;  +151;   -50;  +118;    -9
  +920; +3967;  +199;   -63;   +68;   +13
  +912; +3957;  +143;   -73;   +15;    +6
  +902; +3987;  +164;   -75;   -34;    +7
  +913; +3978;  +167;   -76;   -84;    -1
  +900; +3966;  +176;   -93;  -146;    -8
  +920; +3966;  +187;   -93;  -214;    +7
  +928; +3984;  +199;   -94;  -275;    -6
  +910; +3959;  +230;   -95;  -322;    -8
  +943; +3978;  + +1911; -5402; -4177;+10164
 +4646; +4748; +1645; -5533; -4367;+10231
 +4784; +4769; +2221; -5497; -4616;+10291
 +4691; +4873; +2071; -5630; -4778;+10390
 +4825; +4873; +2373; -5854; -4907;+10490
 +4870; +4968; +2182; -5885; -5086;+10548
 +4870; +4949; +1847; -6008; -5233;+10614
 +4858; +5005; +1965; -6064; -5384;+10687
 +4870; +5032; +1847; -6158; -5508;+10781
 +4933; +5039; +1699; -6399; -5645;+10836
 +4958; +5042; +1858; -6402; -5775;+10896
 +4985; +5051; +2023; -6351; -5904;+10963
 +5022; +5065; +2122; -6522; -5995;+11027
 +5092; +5104; +2509; -6498; -6024;+11096
 +5122; +5130; +2317; -6478; -6098;+11166
 +5191; +5152; +2359; -6481; -6071;+11231
 +5183; +5179; +2423; -6435; -6063;+11296
 +5190; +5166; +2411; -6477; -6000;+11360
 +5231; +5136; +2639; -6465; -5932;+11438
 +5222; +5119; +2478; -6444; -5889;+11490
 +5223; +5066; +2586; -6449; -5798;+11537
 +5168; +5013; +2582; -6397; -5757;+11611
 +5186; +4919; +2503; -6272; -5648;+11671
 +5173; +4925; +2411; -6368; -5536;+11720
 +5205; +4875; +2260; -6225; -5414;+11759
 +5155; +4875; +2217; -6291; -5255;+11804
 +5200; +4868; +2306; -6246; -5026;+11851
 +5221; +4889; +2308; -6211; -4769;+11894
 +5235; +4917; +2268; -6197; -4485;+11933
 +5248; +4905; +2449; -6218; -4134;+11998
 +5222; +4890; +2478; -6190; -3782;+12038
 +5214; +4832; +2593; -6244; -3358;+12082
 +5211; +4769; +2651; -6242; -2947;+12119
 +5174; +4695; +2413; -6189; -2561;+12151
 +5115; +4635; +2407; -6175; -2200;+12182
 +5092; +4542; +2343; -6181; -1880;+12209
 +5067; +4499; +2349; -6302; -1594;+12229
 +4932; +4408; +2235; -6282; -1465;+12254
 +5086; +4454; +2396; -6256; -1426;+12286
 +5042; +4357; +2183; -6425; -1399;+12275
 +5170; +4357; +2194; -6501; -1421;+12267
 +4937; +4370; +2105; -6473; -1495;+12287
 +4946; +4316; +2083; -6481; -1618;+12320
 +5011; +4222; +2323; -6494; -1703;+12341
 +4967; +4202; +2246; -6484; -1788;+12353
 +4869; +4138; +2389; -6484; -1861;+12344
 +4831; +4091; +2309; -6473; -1919;+12358
 +4755; +4061; +2240; -6489; -1981;+12380
 +4892; +4040; +2035; -6470; -2070;+12403
 +4724; +4049; +2102; -6475; -2157;+12412
 +4840; +4108; +1784; -6548; -2251;+12417
 +4893; +4081; +1856; -6702; -2306;+12408
 +4766; +4151; +1840; -6543; -2415;+12424
 +4774; +4113; +1835; -6585; -2465;+12453
 +4816; +4103; +2031; -6677; -2519;+12472
 +4836; +4073; +2126; -6578; -2573;+12489
 +4718; +4040; +2236; -6686; -2638;+12511
 +4653; +3963; +2194; -6567; -2685;+12517
 +4590; +3908; +2034; -6708; -2749;+12532
 +4597; +3816; +1834; -6584; -2839;+12541
 +4539; +3750; +1705; -6676; -2895;+12518
 +4498; +3687; +1691; -6504; -2983;+12517
 +4418; +3656; +1826; -6622; -3035;+12536
 +4407; +3605; +1959; -6578; -3125;+12538
 +4435; +3560; +2093; -6455; -3183;+12544
 +4401; +3524; +2247; -6471; -3243;+12526
 +4301; +3476; +2269; -6466; -3331;+12530
 +4271; +3457; +2215; -6480; -3395;+12524
 +4283; +3399; +2070; -6477; -3454;+12494
 +4209; +3354; +1769; -6469; -3525;+12485
 +4178; +3298; +1637; -6469; -3597;+12467
 +4151; +3254; +1616; -6469; -3641;+12468
 +4151; +3230; +1726; -6480; -3666;+12456
 +4185; +3207; +1889; -6477; -3692;+12421
 +4172; +3210; +1983; -6475; -3702;+12410
 +4104; +3255; +2005; -6479; -3701;+12400
 +4119; +3250; +1922; -6479; -3654;+12390
 +4127; +3163; +1833; -6480; -3593;+12351
 +4094; +3130; +1705; -6463; -3502;+12330
 +4082; +3086; +1691; -6469; -3401;+12308
 +4063; +3000; +1629; -6463; -3296;+12289
 +4087; +2973; +1649; -6458; -3170;+12276
 +4078; +2891; +1747; -6439; -3081;+12250
 +4075; +2879; +1810; -6423; -2965;+12214
 +4048; +2848; +1902; -6240; -2838;+12181
 +4042; +2833; +1864; -6321; -2723;+12177
 +4092; +2815; +1772; -6183; -2584;+12147
 +4060; +2788; +1694; -6117; -2459;+12103
 +4060; +2805; +1597; -6048; -2330;+12084
 +4052; +2787; +1558; -5943; -2211;+12057
 +4064; +2735; +1581; -5840; -2100;+12017
 +4088; +2687; +1661; -5758; -1985;+11976
 +4082; +2604; +1775; -5674; -1904;+11938
 +4098; +2548; +1750; -5604; -1819;+11909
 +4103; +2500; +1575; -5549; -1749;+11874
 +4104; +2481; +1485; -5471; -1688;+11832
 +4134; +2448; +1385; -5409; -1633;+11804
 +4178; +2394; +1198; -5358; -1588;+11777
 +4191; +2367; +1207; -5304; -1537;+11727
 +4242; +2298; +1225; -5268; -1518;+11698
 +4230; +2274; +1232; -5248; -1491;+11656
 +4300; +2222; +1352; -5210; -1474;+11623
 +4314; +2187; +1296; -5213; -1448;+11575
 +4348; +2134; +1233; -5191; -1424;+11554
 +4400; +2103; +1128; -5184; -1421;+11533
 +4439; +2088; +1079; -5151; -1417;+11504
 +4437; +2060; +1001; -5156; -1454;+11479
 +4489; +2014;  +994; -5138; -1473;+11466
 +4535; +1989; +1013; -5123; -1503;+11436
 +4567; +1940; +1053; -5087; -1531;+11444
 +4601; +1923; +1100; -5027; -1543;+11423
 +4616; +1889; +1163; -4980; -1523;+11403
 +4635; +1866; +1204; -4930; -1503;+11402
 +4644; +1873; +1255; -4866; -1436;+11399
 +4624; +1835; +1264; -4771; -1360;+11392
 +4684; +1816; +1296; -4675; -1280;+11381
 +4695; +1772; +1276; -4585; -1186;+11377
 +4697; +1728; +1267; -4497; -1076;+11380
 +4689; +1684; +1195; -4405;  -979;+11364
 +4661; +1673; +1173; -4302;  -896;+11377
 +4660; +1619; +1128; -4225;  -809;+11365
 +4622; +1578; +1103; -4169;  -729;+11344
 +4582; +1548; +1070; -4105;  -672;+11327
 +4549; +1515;  +986; -4059;  -638;+11302
 +4508; +1456; +1002; -3995;  -568;+11270
 +4531; +1363;  +886; -3995;  -517;+11227
 +4500; +1297;  +988; -3902;  -509;+11191
 +4428; +1275;  +976; -3904;  -465;+11186
 +4444; +1224;  +984; -3907;  -432;+11154
